Company Name,Job Title,Location,Job Description,Salary,Link
HRK CARETAKER,Need Male and female for security guard,"Mumbai, Maharashtra",We need a reliable Security Guard to handle interior and exterior security through manual observation and the use of on-site cameras.,"₹15,000 a month",https://in.indeed.com/company/HRK-CARETAKER/jobs/Need-Male-Female-Security-Guard-63bcf3cc1a9c041a?fccid=ff2be3fe053437d0&vjs=3
Topslick,Floor Manager,"Bengaluru, Karnataka","Effective lobby managementand relationship management on the floor Continuous Process and Product training for callers.
Type of Experience - BFSI/LI.","₹3,50,000 a year",https://in.indeed.com/company/Teamforhr/jobs/Floor-Manager-070463f8747c18b8?fccid=a5efe9032514f95a&vjs=3
CREO Tech Solutions Pvt Ltd,IT Sales Executive,"Hyderabad, Telangana","Responsible for generating leads and selling company's software products and service through online and social media.
Total work: 1 year (Preferred).","₹15,230 a month",https://in.indeed.com/company/Creo-Tech-Solutions-Pvt-Ltd/jobs/IT-Sales-Executive-da050c292a99ac32?fccid=90516a8d3b75b44e&vjs=3
simran educational,IELTS Trainer,"Chandigarh, Chandigarh+1 location","English Skill & Communication Skill must require.
Teach student regarding IELTS & Spoken.
Make new study plans for students.","₹12,000 - ₹18,000 a month",https://in.indeed.com/company/simran-educational/jobs/Ielt-Trainer-30e74343b894791d?fccid=2ca8184a16e87ba3&vjs=3
Hire hands business solution,Resourcing Executive,"Kochi, Kerala","Good Communication Skill in English.
Experience-in HR will be a Plus.
Required to have Laptop/PC with Good Internet Connection.
Total work: 1 year (Preferred).","₹15,000 - ₹20,000 a month",https://in.indeed.com/company/Hire-Hands-Business-Solution/jobs/Resourcing-Executive-01d5d18df6dd4bc1?fccid=b2e121f9ec91254f&vjs=3
Staffigo,Trainee US IT Recruiter,"Chennai, Tamil Nadu","Freshers 2018,2019,2020,2021 and Other with 1+ in any domain candidate can also apply.
Shift time : 6.00 pm ist -3.00 am ist.","₹1,80,000 - ₹3,00,000 a year",https://in.indeed.com/company/Staffio/jobs/Trainee-US-IT-Recruiter-22dfe24acb03cf93?fccid=36f6ab84202d9b89&vjs=3
Channelplay Limited,Byju's Field Marketing Executive,"Rajarhat, Kolkata, West Bengal","Door To Door Visit, Visit Different Schools And Colleges, Talk To Students And Gurdians And Collect Leads.
MINIMUM 1 Year Experience In Marketing.","₹17,200 - ₹20,000 a month",https://in.indeed.com/company/Channelplay-Limited/jobs/Byju-Field-Marketing-Executive-f9f694e0134877d0?fccid=6c2d382c09cd0d14&vjs=3
Educo,Hiring Female Marketing Executives & Interns | WORK FROM OFF...,"Temporarily Remote in Dwarka Mor Metro Station, Delhi, Delhi","Job Types: Full-time, Regular / Permanent, Internship, Fresher.
New Delhi, Delhi: Reliably commute or willing to relocate with an employer-provided relocation…","₹5,000 - ₹7,000 a month",https://in.indeed.com/company/COWORKRZ/jobs/Female-Marketing-Executive-Intern-Work-From-Office-West-Delhi-65f88d65cd2550a5?fccid=d04a4490cfd7d6cc&vjs=3
Study educational & english planet,Ielts trainer,"Chandigarh, Chandigarh+4 locations","Job Types: Full-time, Regular / Permanent.","₹12,000 - ₹20,000 a month",https://in.indeed.com/company/Study-educational/jobs/Ielt-Trainer-9695c59cbf750542?fccid=f543ba8ad5cb21dd&vjs=3
india-shine Business Support Services,Business Development Intern,"Temporarily Remote in Bengaluru, Karnataka","As a Business Development Executive, you must attend networking activities with the aim of attracting and keeping clientele.","₹1,000 - ₹2,000 a month",https://in.indeed.com/company/india--shine-Business-Support-Services/jobs/Business-Development-Intern-3f080cb91c1b29e8?fccid=d86c673e985d5a00&vjs=3
Rajdev Sharma and Associates,Accounts Executive,"Naraina, Delhi, Delhi","Assist to senior and knowledge of taxation and tally software , commerce background.
Job Types: Full-time, Regular / Permanent, Internship, Fresher.","₹12,000 - ₹18,000 a month",https://in.indeed.com/company/Rajdev-Sharma-and-Associates/jobs/Account-Executive-f4482c0690f06fb7?fccid=3db2deebb6d84f0c&vjs=3
Innovary Technologies,Video Analyst Trainee Day Shift,"J. P. Nagar, Bengaluru, Karnataka",Innovary Technologies is looking for Video Analyst Trainee who is result oriented individual contributor with passion on Traffic Data Analysis and People…,Not Available,https://in.indeed.com/rc/clk?jk=a25455fd92a7ae1c&fccid=c00062962160dc76&vjs=3
Impact Solution,Backoffice Executive,"Goregaon, Mumbai, Maharashtra","Selected Candidate will required to fill form of the project.
Goregaon, Mumbai, Maharashtra: Reliably commute or planning to relocate before starting work …","₹12,000 - ₹15,000 a month",https://in.indeed.com/company/Impact-Household-Product/jobs/Backoffice-Executive-be539c3cf06ca0dd?fccid=359071474b05733b&vjs=3
ICICI Prudential Life,SR. FSM SOURCING - Banca South,"Bengaluru, Karnataka","Graduate freshers or candidates with experience of 0 - 2 years.
Liaise with bank’s branch staff and build effective relationships to maximize the business…",Not Available,https://in.indeed.com/rc/clk?jk=a96cc6f2870150be&fccid=418e59736275e602&vjs=3
Nakoda Urban Services,Customer Service Advisor - Urgent Hiring,"Gurgaon, Haryana","A bachelor’s degree in administration or related field.
Excellent interpersonal and written and oral communication skills.
Taking feedback from the customers.","₹14,000 - ₹32,728 a month",https://in.indeed.com/company/Nakoda-Urban-Services/jobs/Customer-Service-Advisor-7a5ce8a5e96feb9d?fccid=dd616958bd9ddc12&vjs=3
"Stefanini, Inc",Trainee Professional,"Noida, Uttar Pradesh","Good to have troubleshooting skills on Windows Server 2008/2012.
Create documentation & SOP for easing out tasks & resolve Infrastructure related issues.",Not Available,https://in.indeed.com/rc/clk?jk=aa0ba6fa94167ea2&fccid=7e646b8cb4a11b13&vjs=3
